time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-24 00:00:00+00:00,2,2,,
2024-08-25 00:00:00+00:00,2,2,,
2024-08-26 00:00:00+00:00,2,2,28.0,3.0
2024-08-27 00:00:00+00:00,2,2,8.0,1.0
2024-08-28 00:00:00+00:00,2,2,20.0,3.0
2024-08-29 00:00:00+00:00,2,2,5.0,2.0
2024-08-30 00:00:00+00:00,2,2,5.0,1.0
2024-08-31 00:00:00+00:00,13,3,172.0,1.0
2024-09-01 00:00:00+00:00,2,2,5.0,1.0
2024-09-02 00:00:00+00:00,2,2,,
2024-09-03 00:00:00+00:00,2,2,8.0,3.0
2024-09-04 00:00:00+00:00,2,2,78.0,2.0
2024-09-05 00:00:00+00:00,2,2,7.0,2.0
2024-09-06 00:00:00+00:00,1,1,22.0,1.0
