time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-05 00:00:00+00:00,3,2,,
2025-07-06 00:00:00+00:00,7,3,37.0,1.0
2025-07-07 00:00:00+00:00,21,4,134.0,4.0
2025-07-08 00:00:00+00:00,3,2,1.0,1.0
2025-07-09 00:00:00+00:00,3,2,,
2025-07-10 00:00:00+00:00,3,2,1.0,1.0
2025-07-11 00:00:00+00:00,3,2,3.0,2.0
2025-07-12 00:00:00+00:00,3,2,,
2025-07-13 00:00:00+00:00,3,2,,
2025-07-14 00:00:00+00:00,3,2,1.0,1.0
2025-07-15 00:00:00+00:00,3,2,5.0,1.0
2025-07-16 00:00:00+00:00,3,2,6.0,2.0
2025-07-17 00:00:00+00:00,3,2,,
