time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-25 00:00:00+00:00,3.0,2.0,,
2025-06-26 00:00:00+00:00,3.0,2.0,5.0,1.0
2025-06-27 00:00:00+00:00,3.0,2.0,,
2025-06-28 00:00:00+00:00,3.0,2.0,,
2025-06-29 00:00:00+00:00,3.0,2.0,,
2025-06-30 00:00:00+00:00,3.0,2.0,,
2025-07-01 00:00:00+00:00,3.0,2.0,,
2025-07-02 00:00:00+00:00,3.0,2.0,97.0,1.0
2025-07-03 00:00:00+00:00,3.0,2.0,24.0,3.0
2025-07-04 00:00:00+00:00,3.0,2.0,,
2025-07-05 00:00:00+00:00,3.0,2.0,,
2025-07-06 00:00:00+00:00,7.0,3.0,37.0,1.0
2025-07-07 00:00:00+00:00,21.0,4.0,134.0,4.0
2025-07-08 00:00:00+00:00,,,1.0,1.0
