time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-04 00:00:00+00:00,2,2,2.0,2.0
2025-03-05 00:00:00+00:00,2,2,,
2025-03-06 00:00:00+00:00,3,3,8.0,1.0
2025-03-07 00:00:00+00:00,7,4,55.0,2.0
2025-03-08 00:00:00+00:00,3,2,1.0,1.0
2025-03-09 00:00:00+00:00,4,3,,
2025-03-10 00:00:00+00:00,6,3,49.0,3.0
2025-03-11 00:00:00+00:00,14,3,129.0,2.0
2025-03-12 00:00:00+00:00,3,2,,
2025-03-13 00:00:00+00:00,3,2,3.0,1.0
2025-03-14 00:00:00+00:00,3,2,10.0,1.0
2025-03-15 00:00:00+00:00,3,2,10.0,1.0
2025-03-16 00:00:00+00:00,4,3,,
