time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-04 00:00:00+00:00,4,3,21.0,5.0
2025-02-05 00:00:00+00:00,2,2,8.0,3.0
2025-02-06 00:00:00+00:00,3,3,3.0,2.0
2025-02-07 00:00:00+00:00,2,2,,
2025-02-08 00:00:00+00:00,2,2,,
2025-02-09 00:00:00+00:00,3,3,,
2025-02-10 00:00:00+00:00,2,2,12.0,2.0
2025-02-11 00:00:00+00:00,2,2,,
2025-02-12 00:00:00+00:00,2,2,,
2025-02-13 00:00:00+00:00,2,2,,
2025-02-14 00:00:00+00:00,4,3,,
2025-02-15 00:00:00+00:00,2,2,,
2025-02-16 00:00:00+00:00,2,2,,
