time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-10 00:00:00+00:00,6,3,49.0,3.0
2025-03-11 00:00:00+00:00,14,3,129.0,2.0
2025-03-12 00:00:00+00:00,3,2,,
2025-03-13 00:00:00+00:00,3,2,3.0,1.0
2025-03-14 00:00:00+00:00,3,2,10.0,1.0
2025-03-15 00:00:00+00:00,3,2,10.0,1.0
2025-03-16 00:00:00+00:00,4,3,,
2025-03-17 00:00:00+00:00,3,2,,
2025-03-18 00:00:00+00:00,3,2,3.0,1.0
2025-03-19 00:00:00+00:00,3,2,30.0,3.0
2025-03-20 00:00:00+00:00,3,2,2.0,1.0
2025-03-21 00:00:00+00:00,3,2,24.0,2.0
2025-03-22 00:00:00+00:00,3,2,,
